date,ping,down,up

2016-08-11 17:46:27,19.844,61.43,18.04
2016-08-11 17:48:43,17.822,61.83,16.52
2016-08-11 17:50:21,17.786,61.17,11.23
2016-08-11 18:49:49,21.382,55.60,17.60
2016-08-11 19:19:57,22.261,54.57,17.75
2016-08-11 19:33:47,19.689,53.47,17.65
2016-08-11 19:34:40,20.13,56.39,17.41
2016-08-11 19:35:54,25.37,54.15,17.19
2016-08-11 19:41:09,22.348,60.89,17.17
2016-08-11 19:42:23,19.585,56.97,17.48
2016-08-11 19:43:16,20.331,58.23,16.95
2016-08-11 19:44:22,18.806,59.04,17.39
2016-08-11 19:45:21,22.918,57.55,16.51
2016-08-11 19:45:55,20.629,51.66,17.36
2016-08-11 19:49:16,18.708,53.33,16.81
2016-08-11 19:49:50,56.756,23.41,10.44
2016-08-11 19:49:54,17.893,41.00,11.78
2016-08-11 19:51:22,19.466,55.14,17.43
2016-08-11 19:51:53,20.511,52.62,17.58
2016-08-11 19:53:04,18.339,52.36,17.17
2016-08-11 19:53:33,19.533,51.81,17.02
2016-08-11 20:19:50,19.414,52.71,17.04
2016-08-11 20:49:48,22.965,59.19,17.62
2016-08-11 21:19:49,22.982,56.50,17.48
2016-08-11 21:49:52,17.832,56.98,15.92
2016-08-11 22:19:50,20.563,54.60,17.90
2016-08-11 22:49:58,19.676,61.44,16.96
2016-08-11 23:19:49,17.973,61.84,15.50
2016-08-11 23:49:49,19.322,61.43,15.29
2016-08-12 00:19:51,19.996,60.56,17.15
2016-08-12 00:49:51,18.284,61.08,17.62
2016-08-12 01:19:52,26.343,58.01,17.95
2016-08-12 01:49:53,32.487,55.77,17.22
2016-08-12 02:19:51,19.812,60.09,17.98
2016-08-12 02:49:49,27.049,60.36,17.63
2016-08-12 03:19:54,26.274,54.22,17.19
2016-08-12 03:49:51,29.772,53.21,17.17
2016-08-12 04:20:01,29.767,54.72,17.35
2016-08-12 04:49:47,19.008,54.47,17.27
2016-08-12 05:19:54,20.373,61.33,17.98
2016-08-12 05:49:53,20.863,61.54,17.96
2016-08-12 06:19:49,19.319,61.83,17.39
2016-08-12 06:49:49,28.97,60.96,17.82
2016-08-12 07:19:50,26.669,60.20,17.49
2016-08-12 07:49:49,19.757,61.58,16.86
2016-08-12 08:19:51,23.056,61.80,17.84
2016-08-12 08:49:49,26.441,61.17,17.69
2016-08-12 09:19:49,20.352,61.78,17.82
2016-08-12 09:49:48,29.93,40.47,17.90
2016-08-12 10:19:55,28.32,61.65,17.67
2016-08-12 10:49:57,27.689,60.70,17.99
2016-08-12 11:19:53,21.988,49.21,17.82
