date,ping,down,up
2016-01-31 12:46:15,26.13,64.1,18.3
2016-01-31 12:56:39,24.22,66.7,18.3
2016-01-31 13:07:03,24.14,63.5,18.2
2016-01-31 13:17:30,25.82,61.1,18.3
2016-01-31 13:27:58,24.79,65.7,18.2
2016-01-31 13:38:26,27.55,62.8,13.4
2016-01-31 13:48:58,25.09,65.9,18.2
2016-01-31 13:59:29,28.08,65.8,18.3
2016-01-31 14:25:59,25.63,62.4,18.1
2016-01-31 14:56:52,24.66,64.4,18.1
2016-01-31 15:25:13,24.44,64.9,18.3
2016-01-31 15:25:50,26.11,64.7,18.2
2016-01-31 15:26:27,25.25,63.8,18.3
2016-01-31 15:27:05,24.68,65.1,18.2
2016-01-31 15:29:10,26.34,64.6,18.3
2016-01-31 16:00:13,25.01,60.2,18.2
2016-01-31 16:30:46,25.71,67.0,18.1
2016-01-31 17:06:52,27.49,63.7,18.1
2016-01-31 17:43:58,25.66,67.1,17.6
2016-01-31 18:14:28,25.34,61.1,17.6
2016-01-31 18:45:00,26.26,62.3,18.1
2016-01-31 19:15:24,27.08,64.6,18.2
2016-01-31 19:45:49,25.96,62.4,18.3
2016-01-31 20:16:23,24.53,61.7,18.1
2016-01-31 20:46:50,24.87,62.5,18.1
2016-01-31 21:17:15,24.58,65.0,18.2
2016-01-31 21:47:40,27.31,60.6,18.2
2016-01-31 22:18:11,26.98,58.1,18.1
2016-01-31 22:48:36,24.40,63.7,17.8
2016-01-31 23:31:17,23.90,64.0,18.2
2016-02-01 00:01:40,24.14,63.6,18.2
2016-02-01 00:32:10,25.13,66.5,18.2
2016-02-01 01:02:33,24.04,67.2,18.2
2016-02-01 01:32:55,23.74,66.7,18.1
2016-02-01 02:03:20,24.70,64.1,18.3
2016-02-01 02:33:48,23.92,65.5,18.2
2016-02-01 03:04:14,24.10,66.8,18.3
2016-02-01 03:34:37,24.90,65.8,18.1
2016-02-01 04:05:02,24.40,63.1,18.3
2016-02-01 04:35:25,24.41,66.8,18.3
2016-02-01 05:05:51,24.81,66.9,18.3
2016-02-01 05:36:20,24.18,65.0,18.3
2016-02-01 06:06:45,24.53,66.6,18.3
2016-02-01 06:37:09,24.86,64.1,18.3
2016-02-01 07:07:36,24.56,63.3,18.3
2016-02-01 07:38:05,25.91,61.6,18.3
2016-02-01 08:08:30,24.78,63.7,18.3
2016-02-01 08:38:55,23.62,66.9,18.3
2016-02-01 09:09:20,25.66,61.8,18.2
2016-02-01 09:39:45,24.22,61.3,18.1
2016-02-01 10:10:09,24.05,65.8,18.3
2016-02-01 10:40:33,25.86,66.5,18.3
2016-02-01 11:10:58,24.07,66.9,18.3
2016-02-01 11:41:22,24.08,66.9,18.3
2016-02-01 12:11:46,24.62,65.3,18.2
2016-02-01 12:42:16,24.08,66.4,18.3
2016-02-01 13:12:46,25.43,53.2,18.1
2016-02-01 13:43:22,26.12,58.3,18.1
2016-02-01 14:13:48,23.55,59.5,18.0
2016-02-01 14:44:13,24.69,62.9,18.2
2016-02-01 15:14:38,26.58,61.8,18.2
2016-02-01 15:45:02,27.31,64.6,18.3
2016-02-01 16:15:28,25.87,57.7,18.2
2016-02-01 16:45:57,25.62,56.1,18.2
2016-02-01 17:16:25,25.96,58.7,18.0
2016-02-01 17:46:53,25.90,61.2,18.2
2016-02-01 18:17:23,27.05,59.6,18.0
2016-02-01 18:47:49,25.71,63.4,18.2
2016-02-01 19:18:14,24.20,63.1,18.3
2016-02-01 19:49:13,26.62,61.8,18.3
